#
# German language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Urheber
%%copyright_source_string%%	Quelle
%%copyright_source_text%%	Basierend auf OpenStreetMap-Daten, erhältlich via http://www.openstreetmap.org/
%%copyright_license_string%%	Lizenz

%%turn_-4%%	Sehr scharf links
%%turn_-3%%	Scharf links
%%turn_-2%%	Links
%%turn_-1%%	Halb links
%%turn_0%%	Geradeaus
%%turn_1%%	Halb rechts
%%turn_2%%	Rechts
%%turn_3%%	Scharf rechts
%%turn_4%%	Sehr scharf rechts

%%heading_-4%%	Süd
%%heading_-3%%	Süd-West
%%heading_-2%%	West
%%heading_-1%%	Nord-West
%%heading_0%%	Nord
%%heading_1%%	Nord-Ost
%%heading_2%%	Ost
%%heading_3%%	Süd-Ost
%%heading_4%%	Süd

%%ordinal_1%%	Erste
%%ordinal_2%%	Zweite
%%ordinal_3%%	Dritte
%%ordinal_4%%	Vierte
%%ordinal_5%%	Fünfte
%%ordinal_6%%	Sechste
%%ordinal_7%%	Siebte
%%ordinal_8%%	Achte
%%ordinal_9%%	Neunte
%%ordinal_10%%	Zehnte

%%highway_motorway%%	Autobahn
%%highway_trunk%%	Schnellstraße
%%highway_primary%%	Bundesstraße
%%highway_secondary%%	Landesstraße
%%highway_tertiary%%	Kreisstraße
%%highway_unclassified%%	Nebenstraße
%%highway_residential%%	Wohngebietsstraße
%%highway_service%%	Erschließungsweg
%%highway_track%%	Feld-/Waldweg
%%highway_cycleway%%	Radweg
%%highway_path%%	Weg/Pfad
%%highway_steps%%	Treppe
%%highway_ferry%%	Fähre

%%route_shortest%%	Kürzeste
%%route_quickest%%	Schnellste

%%output-html_waypoint_waypoint%%	Wegpunkt
%%output-html_waypoint_junction%%	Anschlussstelle
%%output-html_waypoint_roundabout%%	Kreisverkehr
%%output-html_title%%	%s Route
%%output-html_start%%	Start bei %s halten Sie sich Richtung %s
%%output-html_node%%	Bei %s wenden Sie sich nach %s Richtung %s
%%output-html_rbnode%%	Verlassen Sie %s, nehmen Sie die %s Ausfahrt Richtung %s
%%output-html_segment%%	Folgen Sie der %s für %.3f km bzw. %.1f min
%%output-html_stop%%	Stop Sie sind bei %s angekommen
%%output-html_total%%	Gesamt %.1f km, %.0f minuten
%%output-html_subtotal%%	%.1f km, %.0f minuten

%%output-gpx_waypoint_waypt%%	Wegpunkt
%%output-gpx_waypoint_trip%%	Reiseroute

%%output-gpx_desc%%	%s Strecke zwischen 'Start' und 'Ziel'
%%output-gpx_name%%	%s Strecke
%%output-gpx_step%%	%s auf '%s' für %.3f km, %.1f min
%%output-gpx_final%%	Gesamtstrecke %.1f km, %.0f minuten

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Deutsch
@@TRANSPORT-BICYCLE@@	Fahrrad
@@TRANSPORT-MOPED@@	Moped
@@TRANSPORT-MOTORCYCLE@@	Motorrad
@@TRANSPORT-MOTORCAR@@	Auto
@@TRANSPORT-GOODS@@	LKW
@@TRANSPORT-HGV@@	Schwertransport/LKW
@@TRANSPORT-PSV@@	Öffentlicher Personenverkehr

@@HIGHWAY-MOTORWAY@@	Autobahn
@@HIGHWAY-TRUNK@@	Schnellstraße
@@HIGHWAY-PRIMARY@@	Bundesstraße
@@HIGHWAY-SECONDARY@@	Landesstraße
@@HIGHWAY-TERTIARY@@	Hauptstraße
@@HIGHWAY-UNCLASSIFIED@@	Straße
@@HIGHWAY-RESIDENTIAL@@	Wohnstraße
@@HIGHWAY-SERVICE@@	Zufahrtsweg
@@HIGHWAY-TRACK@@	Feld-(Wald-)weg
@@HIGHWAY-CYCLEWAY@@	Fahrradweg
@@HIGHWAY-PATH@@	Weg
@@HIGHWAY-STEPS@@	Treppe
@@HIGHWAY-FERRY@@	Fähre

@@PROPERTY-PAVED@@	befestigt
@@PROPERTY-MULTILANE@@	mehrspurig
@@PROPERTY-BRIDGE@@	Brücken
@@PROPERTY-TUNNEL@@	Tunnel
@@PROPERTY-WALKINGROUTE@@	Wanderweg
@@PROPERTY-BICYCLEROUTE@@	Radweg

@@RESTRICT-ONEWAY@@	beachte Einbahnstraßen
@@RESTRICT-TURNS@@	beachte Abbiegeverbot
@@RESTRICT-WEIGHT@@	Gewicht
@@RESTRICT-HEIGHT@@	Höhe
@@RESTRICT-WIDTH@@	Breite
@@RESTRICT-LENGTH@@	Länge

@@FIND-SHORTEST-ROUTE@@	Kürzeste Route finden
@@FIND-QUICKEST-ROUTE@@	Schnellste Route finden

@@MAP-VIEW-LINK@@	anpassen dieser Kartenansicht
@@EDIT-OSM-DATA@@	Bearbeitet die OSM-Daten

@@ROUTER-NOT-RUN@@	Router läuft nicht
@@ROUTER-RUNNING@@	Router läuft...
@@ROUTER-COMPLETED@@	Routing fertig
@@ROUTER-ERROR@@	Router Fehler
@@ROUTER-FAILED@@	Router funktioniert nicht
@@VIEW-DETAILS@@	zeige Details

@@NO-INFORMATION@@	keine Information
@@HTML-ROUTE@@	HTML
@@GPX-TRACK-ROUTE@@	GPX Track-Datei
@@GPX-ROUTE@@	GPX Routen-Datei
@@FULL-TEXT-ROUTE@@	Volltext-Datei
@@TEXT-ROUTE@@	Text-Datei
@@OPEN-POPUP@@	öffne Popup

@@DISPLAY-STATISTICS@@	zeige die Statistik

@@JAVASCRIPT-REQUIRED@@	Um die interaktive Karte zu nutzen iWork Javascript benötigt. 
@@ROUTER@@	Router
@@GEO-DATA@@	Geodaten
@@TILES@@	Kacheln

#
# Visualiser specific translations
#

@@VISUALISER-TITLE@@	Visualisierung der Routing-Daten

@@INSTRUCTIONS-BOX@@	Anweisungen
@@ROUTER-BOX@@	Routino Router

@@NO-DATA-DISPLAYED@@	Keine Daten angezeigt

@@VISUALISER-FAILED@@	Fehler bei der Erstellung der visuellen Daten!
@@VISUALISER-NUM-JUNCTIONS@@	# Kreuzungen verarbeitet
@@VISUALISER-NUM-SUPER@@	# Super-Knoten/Segmente verarbeitet
@@VISUALISER-NUM-WAYTYPE@@	# Wegtypen Segmente verarbeitet
@@VISUALISER-NUM-SEGMENTS@@	# Segmente verarbeitet
@@VISUALISER-NUM-NODES@@	# Knoten verarbeitet
@@VISUALISER-NUM-TURNS@@	# Abbiegebeschrängkungen verarbeitet
@@VISUALISER-NUM-LIMITS@@	# Limit-Änderungen verarbeitet
@@VISUALISER-NUM-ERRORS@@	# Error Logs erstellt

@@JUNCTIONS-BUTTON@@	Kreuzungen anzeigen
@@JUNCTIONS-1@@	ein Weg - Sackgasse
@@JUNCTIONS-2@@	Aufeinandertreffen zweier Wege unterschiedlichen Typs.
@@JUNCTIONS-3@@	Aufeinandertreffen von drei Wegen.
@@JUNCTIONS-4@@	Aufeinandertreffen von vier Wegen.
@@JUNCTIONS-5@@	Aufeinandertreffen von fünf Wegen.
@@JUNCTIONS-6@@	Aufeinandertreffen von sechs Wegen.
@@JUNCTIONS-MORE@@	Aufeinandertreffen von sieben oder mehr Wegen.

@@SUPER-BUTTON@@	Super-Segments anzeigen

@@WAYTYPE-BUTTON@@	Wegart des Abschnittes anzeigen
$$WAYTYPE-INFO$$
Spezial-Arten der Abschnitte (Einbahnstraße, beidseitige Fahrradwege und Kreisverkehre) werden angezeigt.
Ein koloriertes Dreieck zeigt die erlaubte Fahrtrichtung an. Die Farben der Dreiecke hängen von der jeweiligen Art des Abschnittes ab. 
$$WAYTYPE-INFO$$

@@WAYTYPE-ONEWAY@@	Einbahnstraßen Segmente
@@WAYTYPE-CYCLE-BOTH-WAYS@@	Fahrradweg auf beiden Seiten des Abschnittes
@@WAYTYPE-ROUNDABOUT@@	Kreisverkehr Segmente

@@HIGHWAY-BUTTON@@	Wegabschnitte anzeigen
$$HIGHWAY-INFO$$
Jeder Abschnitt der ausgewählten Wegart ist gezeichnet.
$$HIGHWAY-INFO$$

$$BARRIER-INFO$$
Jedes blockierendes Hindernis die den gewählten Transporttyp ist dargestellt.
$$BARRIER-INFO$$

@@TURNS-BUTTON@@	Zeige Abbiegebeschränkungen
$$TURNS-INFO$$
Jede Abbiegebeschränkung wird mit einer Linie angezeigt
$$TURNS-INFO$$

@@SPEED-BUTTON@@	Zeige Geschwindigkeitsbeschränkungen

@@LIMIT-CHANGE@@	Änderung der Beschränkung
@@LIMIT-NONE@@	Keine Beschränkung
@@SPEED-LIMIT-80@@	80 km/Stunde Geschwindigkeitsbegrenzung

@@WEIGHT-BUTTON@@	Gewichtswegbeschränkungen anzeigen

@@WEIGHT-LIMIT-8@@	8 Tonnen Wegbeschränkung

@@HEIGHT-BUTTON@@	Maximale Höhe anzeigen 

@@HEIGHT-LIMIT-4@@	4.0 m Höhenbeschränkung

@@WIDTH-BUTTON@@	Maximale Breite anzeigen

@@WIDTH-LIMIT-3@@	max. 3,0 m Breite

@@LENGTH-BUTTON@@	Längenbeschränkung anzeigen

@@LENGTH-LIMIT-9@@	9.0 m Längenbeschränkung

@@PROPERTY-BUTTON@@	Anzeigen der Wegeigenschaften
$$PROPERTY-INFO$$
Jedes Segment der Autobahn / Schnellstraße mit speziellen Eigenschaften wurden dargestellt.
$$PROPERTY-INFO$$

@@ERROR-LOG-BUTTON@@	Anzeige Fehlerprotokoll
$$ERROR-LOG-INFO$$
Routino hat potentielle Problem beim verarbeiten der Eingabedaten gefunden.
$$ERROR-LOG-INFO$$

@@CLEAR-DATA-BUTTON@@	Daten zurücksetzen

#
# Multi-line descriptive translations (router)
#

$$ROUTER-INFO$$
Diese Website erlaubt Routing mit den Daten, die OpenStreetMap gesammelt hat.
Wähle Start- und Endpunkt (klicke auf die Marker-Symbole unten), wähle die Routing-Vorgaben und dann finde den Weg.
$$ROUTER-INFO$$

$$ROUTER-OPTIONS-HELP$$
<b>Schnellanleitung</b>
<br>
Klicke auf die Marker-Bildchen (oben), um sie in der Mitte der Karte (rechts) zu positionieren. Dann
ziehe das Bildchen auf die genaue Position. Das Zoomen der Karte vor der Patzierung ist vermutlich am einfachsten.
Alternativ kann man die geografische Breite und Länge in den Kästchen eintragen.
<p>
Wähle die Fortbewegungsart, die Vorgaben zur Wegnutzung, die Geschwindigkeitsvorgaben,
die Vorgaben zur Wegbeschaffenheit und die anderen Vorgaben von den obigen Auswahlfeldern.
Ein Klick auf "kürzeste" oder "schnellste" ermittelt die entsprechende Verbindung und zeigt sie in der Karte an.
<p>
<b>Wegpunkte</b>
<br>
Ein Klick auf das Marker-Bildchen (oben) schaltet die Sichbarkeit in der Karte ein bzw. aus.
Die Berechnung Route erfolgt in der Reihenfolge der Wegpunkte (so gut, wie es für die
gewählte Fortbewegungsart möglich ist).
<p>
<b>Fortbewegungsart</b>
<br>
Die Auswahl der Fortbewegungsart bestimmt die bei der Routenberechnung erlaubten Wegtypen und die
Vorgabeeinstellungen aller anderen Parameter.
<p>
<b>Vorgaben zur Wegnutzung</b>
<br>
Die Vorgaben zur Wegnutzung bestimmen die Priorisierung von Wegarten.
Wenn z. B. Schnellstraßen mit 110% und Bundesstraßen mit 100% angegeben werden, wird
bei zwei möglichen Wegwahlen die Schnellstraße solange bevorzugt wird, wie der
Längen(oder Zeit-)unterschied 10% nicht überschreitet.
<p>
<b>Geschwindigkeitsvorgaben</b>
<br>
Die hier geannten Geschwindigkeiten werden für den jeweiligen Wegtyp finden Anwendung wenn keine
andere Geschwindkeitsbegrenzung mit geringerem Wert bekannt ist.
<p>
<b>Vorgaben zur Wegbeschaffenheit</b>
<br>
Die Vorgaben zur Wegbeschaffenheit werden als Prozentangaben verwendet, um die Verhältnisse
der Wegbenutzung zu steuern.
Wenn z. B. befestigte Wege mit 75% angegeben sind, werden unbefestigte automatisch mit 25% angenommen, so
werden Wege ausgewählt, die mindestens drei mal länger auf befestigten Wegen verlaufen.
<p>
<b>andere Vorgaben</b>
<br>
Die Berücksichtigung von Benutzungs-Begrenzungen durch Gewicht, Höhe, Länge und
Breite ist möglich. Genauso können Einbahnstraßenbeschräkungen ignoriert werden
(z. B. als Fußgänger).
$$ROUTER-OPTIONS-HELP$$

$$ROUTER-RESULTS-HELP$$
<b>Schnellanleitung</b>
<br>
Nach der Routenberechnung kann man eine GPX oder eine einfache Textdatei (Kurz- oder Langfassung)
herunterladen. Ebenso kann man die Routenbeschreibung ansehen und in ausgewälte Bereiche zoomen.
<p>
<b>Problemlösung</b>
<br>
Wenn der Router einen Fehler meldet liegt es meistens daran, dass kein Weg zwischen den gewälten Punkten unter
Beachtung der Vorgaben gefunden werden kann. Das Bewegen eines oder mehrere Punkte oder das verändern von
Vorgaben sollte es erlauben eine Route zu finden.
<p>
<b>Ausgabe-Formate</b>
<br>
<dl>
  <dt>HTMLs
  <dd>Eine Beschreibung der Route mit Anweisungen für jede wichtige Abzweigung.
  <dt>GPX Track-Datei
  <dd>Die gleichen Informationen, die in der Karte angezeigt werden mit Punkten für jeden Abzweig
      und Linien für jedes Teilstück.
  <dt>GPX Routen-Datei
  <dd>Die gleichen Informationen, die im Text angezeigt werden mit einem Wegpunkt für
      jede wichtige Richtungsänderung.
  <dt>Volltext-Datei
  <dd>Eine aller Knoten und die Abstände zwischen ihnen, sowie die Gesamtentfernung vom i
      Startpunkt zum jeweiligen Konten.
  <dt>Text-Datei
  <dd>Die gleiche Information, die als Text angezeigt wird.
</dl>
$$ROUTER-RESULTS-HELP$$

$$ROUTER-VISUALISER-INFO$$
Die Anzeige der Daten kann auf verschiedene Weise angepasst werden.
$$ROUTER-VISUALISER-INFO$$

#
# Multi-line descriptive translations (visualiser)
#

$$VISUALISER-INFO$$
Diese Webseite erlaubt die Visualisierung der Daten, die Routine für das Berechnen der Route nutzt. Nur die relevanten Daten für die Berechnung der Routen werden dargestellt, daher werden einige ausgeschlossen.
$$VISUALISER-INFO$$

$$VISUALISER-INSTRUCTIONS$$
Zoomen Sie in die Karte und nutzen Sie den Knöpfe unten um die Daten herunter zu laden. Der Server liefert nur ein Ergebnis, wenn das ausgewählte Feld klein genug ist.
$$VISUALISER-INSTRUCTIONS$$

$$VISUALISER-HELP$$
<b>Schnellstart</b>
<br>
Vergrößer ein Gebiet und nutze einen der Schaltknöpfe, um die entsprechenden Daten anzuzeigen.
<br>
Durch aufklappen der Details unter jedem Schaltknopf können mehr Datenoptionen angezeigt werden.
<p>
<b>Data Failure</b>
<br>
Wenn das ausgewählte Gebiet zu groß ist (hängt vom Datentyp ab), dann zeigt der Status "Failed to get visualiser data" (Visualiserungsdaten unmöglich zu bekommen) - vergrößer und versuch es noch einmal.
$$VISUALISER-HELP$$

$$VISUALISER-ROUTER-INFO$$
Um die Routenplanung auf der Karte durchzuführen, verwenden sie den untenstehenden Link.
$$VISUALISER-ROUTER-INFO$$
