#
# Italian language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Autore
%%copyright_source_string%%	Sorgente
%%copyright_source_text%%	Basato sui dati di OpenStreetMap (http://www.openstreetmap.org/)
%%copyright_license_string%%	Licenza

%%turn_-4%%	Immediatamente a sinistra
%%turn_-3%%	Subito a sinistra
%%turn_-2%%	Sinistra
%%turn_-1%%	Leggermente a sinistra
%%turn_0%%	Prosegui su
%%turn_1%%	Leggermente a destra
%%turn_2%%	Destra
%%turn_3%%	Subito a destra
%%turn_4%%	Immediatamente a destra

%%heading_-4%%	Sud
%%heading_-3%%	Sud-Ovest
%%heading_-2%%	Ovest
%%heading_-1%%	Nord-Ovest
%%heading_0%%	Nord
%%heading_1%%	Nord-Est
%%heading_2%%	Est
%%heading_3%%	Sud-Est
%%heading_4%%	Sud

%%ordinal_1%%	Prima
%%ordinal_2%%	Seconda
%%ordinal_3%%	Terza
%%ordinal_4%%	Quarta
%%ordinal_5%%	Quinta
%%ordinal_6%%	Sesta
%%ordinal_7%%	Settima
%%ordinal_8%%	Ottava
%%ordinal_9%%	Nona
%%ordinal_10%%	Decima

%%highway_motorway%%	autostrada
%%highway_trunk%%	strada principale
%%highway_primary%%	strada principale
%%highway_secondary%%	strada secondaria
%%highway_tertiary%%	strada terziaria
%%highway_unclassified%%	strada non classificata
%%highway_residential%%	strada residenziale
%%highway_service%%	strada di servizio
%%highway_track%%	traccia
%%highway_cycleway%%	pista ciclabile
%%highway_path%%	sentiero
%%highway_steps%%	passi
%%highway_ferry%%	traghetto

%%route_shortest%%	Il piu' corto
%%route_quickest%%	Il piu' veloce

%%output-html_waypoint_waypoint%%	Punto sul tragitto
%%output-html_waypoint_junction%%	Raccordo
%%output-html_waypoint_roundabout%%	Rotatoria
%%output-html_title%%	%s Itinerario
%%output-html_start%%	Inizia a %s, su %s
%%output-html_node%%	A %s, vai a %s su %s
%%output-html_rbnode%%	Lascia %s, prendi la %s uscita su %s
%%output-html_segment%%	Segui %s per %.3f km, %.1f min
%%output-html_stop%%	Stop fra %s
%%output-html_total%%	Totale %.1f km, %.0f minuti
%%output-html_subtotal%%	%.1f km, %.0f minuti

%%output-gpx_waypoint_waypt%%	WAYPT
%%output-gpx_waypoint_trip%%	TRIP

%%output-gpx_desc%%	%s punti sul percorso fra 'start' e 'finish'
%%output-gpx_name%%	%s percorso
%%output-gpx_step%%	%s su '%s' per %.3f km, %.1f min
%%output-gpx_final%%	Viaggio completo %.1f km, %.0f minuti

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Italiano
@@TRANSPORT-WHEELCHAIR@@	Carrozzella
@@TRANSPORT-BICYCLE@@	Bicicletta
@@TRANSPORT-MOPED@@	Ciclomotore
@@TRANSPORT-MOTORCYCLE@@	Motociclo
@@TRANSPORT-MOTORCAR@@	Autovettura
@@TRANSPORT-GOODS@@	Merce
@@TRANSPORT-HGV@@	Trasporto Merci Pesante
@@TRANSPORT-PSV@@	Mezzi Pubblici

@@HIGHWAY-MOTORWAY@@	Autostrada
@@HIGHWAY-TRUNK@@	Tronco
@@HIGHWAY-PRIMARY@@	Primario
@@HIGHWAY-SECONDARY@@	Secondario
@@HIGHWAY-TERTIARY@@	Terziario
@@HIGHWAY-UNCLASSIFIED@@	Non classificato
@@HIGHWAY-RESIDENTIAL@@	Residenziale
@@HIGHWAY-SERVICE@@	Servizio
@@HIGHWAY-TRACK@@	Traccia
@@HIGHWAY-CYCLEWAY@@	Pista ciclabile
@@HIGHWAY-PATH@@	Sentiero
@@HIGHWAY-STEPS@@	Passaggi
@@HIGHWAY-FERRY@@	Traghetto

@@PROPERTY-PAVED@@	Asfaltata
@@PROPERTY-MULTILANE@@	Corsie multiple
@@PROPERTY-BRIDGE@@	Ponte
@@PROPERTY-TUNNEL@@	Tunnel
@@PROPERTY-WALKINGROUTE@@	Percorso pedonale
@@PROPERTY-BICYCLEROUTE@@	Percorso ciclabile

@@RESTRICT-ONEWAY@@	Strade a senso unico
@@RESTRICT-TURNS@@	Divieto di svolta
@@RESTRICT-WEIGHT@@	Peso
@@RESTRICT-HEIGHT@@	Altezza
@@RESTRICT-WIDTH@@	Larghezza
@@RESTRICT-LENGTH@@	Lunghezza

@@FIND-SHORTEST-ROUTE@@	Trova il percorso più breve
@@FIND-QUICKEST-ROUTE@@	Trova il percorso più veloce

@@MAP-VIEW-LINK@@	Collegamento a questa vista della mappa
@@EDIT-OSM-DATA@@	Modifica questi dati OSM

@@ROUTER-NOT-RUN@@	Percorso bloccato
@@ROUTER-RUNNING@@	Percorso in esecuzione
@@ROUTER-COMPLETED@@	Percorso completo
@@ROUTER-ERROR@@	Errore di percorso
@@ROUTER-FAILED@@	Errore di esecuzione del percorso
@@VIEW-DETAILS@@	Vedi dettagli

@@NO-INFORMATION@@	Nessuna informazione
@@HTML-ROUTE@@	Direzioni formato HTML
@@GPX-TRACK-ROUTE@@	File di traccia GPX
@@GPX-ROUTE@@	File di percorso GPX
@@FULL-TEXT-ROUTE@@	File di testo
@@TEXT-ROUTE@@	File di testo
@@OPEN-POPUP@@	Nuova pagine

@@DISPLAY-STATISTICS@@	Mostra statistiche dei dati

@@JAVASCRIPT-REQUIRED@@	E' <em>necessario</em> Javascript per questa pagina web in quanto la mappa è interattiva.
@@ROUTER@@	Percorso
@@GEO-DATA@@	Dati Geografici
@@TILES@@	Tiles

#
# Visualiser specific translations
#

@@VISUALISER-TITLE@@	Visualizzatore dati percorso

@@INSTRUCTIONS-BOX@@	Istruzioni
@@ROUTER-BOX@@	Percorso Routino

@@NO-DATA-DISPLAYED@@	Nessun dato mostrato

@@VISUALISER-FAILED@@	Errore nella visualizzazione dei dati!
@@VISUALISER-NUM-JUNCTIONS@@	Elaborati # raccordi
@@VISUALISER-NUM-SUPER@@	Elaborati # super-nodi/segmanti
@@VISUALISER-NUM-WAYTYPE@@	Elaborati # segmenti di tipo via
@@VISUALISER-NUM-SEGMENTS@@	Elaborati # segmanti
@@VISUALISER-NUM-NODES@@	Elaborati # nodi
@@VISUALISER-NUM-TURNS@@	Elaborati # vincoli di svolta
@@VISUALISER-NUM-LIMITS@@	Elaborati # cambio di limiti
@@VISUALISER-NUM-ERRORS@@	Elaborati # raccolta degli errori

@@JUNCTIONS-BUTTON@@	Mostra Raccordi
$$JUNCTIONS-INFO$$
Ogni nodo che sia finale, oppure un raccordo fra due strade di diverso tipo o con
diverse proprietà, o un raccordo dove confluiscono due o più segmenti, viene
mostrato con un colore codificato.
$$JUNCTIONS-INFO$$
@@JUNCTIONS-1@@	strada chiusa a senso unico.
@@JUNCTIONS-2@@	Trovate due superstrade di tipo diverso.
@@JUNCTIONS-3@@	Trovate tre superstrade.
@@JUNCTIONS-4@@	Trovate quattro superstrade.
@@JUNCTIONS-5@@	Trovate cinque superstrade.
@@JUNCTIONS-6@@	Trovate sei superstrade.
@@JUNCTIONS-MORE@@	Trovate sette (o più) superstrade.

@@SUPER-BUTTON@@	Mostra Super Segmenti
$$SUPER-INFO$$
Sono mostrati ogni super-nodo con i super-segmenti associati (per dettagli vedi la pagina dell'algoritmo).
$$SUPER-INFO$$

@@WAYTYPE-BUTTON@@	Mostra Segmenti Di Tipo Via
$$WAYTYPE-INFO$$
Viene mostrato ogni tratto speciali (a senso unico, ciclabile in entrambi i sensi e rotatoria).
Per segmenti a senso unico un triangolo colorato indica la direzione consentita.
I colori dei triangoli dipendono dall'orientamento del segmento stesso.
$$WAYTYPE-INFO$$

@@WAYTYPE-ONEWAY@@	Segmenti senso unico
@@WAYTYPE-CYCLE-BOTH-WAYS@@	Segmenti doppio senso
@@WAYTYPE-ROUNDABOUT@@	Segmenti rotatoria

@@HIGHWAY-BUTTON@@	Mostra Segmenti Autostrada
$$HIGHWAY-INFO$$
Viene mostrato ogni segmento delle superstrade selezionate.
$$HIGHWAY-INFO$$

@@TRANSPORT-BUTTON@@	Mostra Segmenti Trasporto.
$$TRANSPORT-INFO$$
Viene mostrato ogni segmento consentito per il trasporto selezionato.
$$TRANSPORT-INFO$$

@@BARRIER-BUTTON@@	Mostra Nodi Barriera
$$BARRIER-INFO$$
Viene mostrata ogni barriera che blocca il tipo di trasporto selezionato.
$$BARRIER-INFO$$

@@TURNS-BUTTON@@	Mostra i limiti sulle svolte
$$TURNS-INFO$$
Le svolte non consentite vengono indicate da una linea.
$$TURNS-INFO$$

@@SPEED-BUTTON@@	Mostra i limiti di velocità
$$SPEED-INFO$$
Ogni nodo che unisce segmenti con limiti di velocità diversi viene mostrato con tale limite sui relativi segmenti.
$$SPEED-INFO$$

@@LIMIT-CHANGE@@	Cambio di limite
@@LIMIT-NONE@@	Nessun limite specificato
@@SPEED-LIMIT-80@@	velocità massima 80 km/ora

@@WEIGHT-BUTTON@@	Mostra i limiti di peso
$$WEIGHT-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di peso
insieme al limite di peso per i relativi segmenti.
$$WEIGHT-INFO$$

@@WEIGHT-LIMIT-8@@	peso massimo 8 tonnellate

@@HEIGHT-BUTTON@@	Mostra i limiti di altezza
$$HEIGHT-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di altezza
insieme al limite di altezza per i relativi segmenti.
$$HEIGHT-INFO$$

@@HEIGHT-LIMIT-4@@	altezza massima 4 metri

@@WIDTH-BUTTON@@	Mostra i limiti di larghezza
$$WIDTH-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di larghezza
insieme al limite di larghezza per i relativi segmenti.
$$WIDTH-INFO$$

@@WIDTH-LIMIT-3@@	larghezza massima 3 metri

@@LENGTH-BUTTON@@	Mostra i limiti di lunghezza
$$LENGTH-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di lunghezza
insieme al limite di lunghezza per i relativi segmenti.
$$LENGTH-INFO$$

@@LENGTH-LIMIT-9@@	lunghezza massima 9 metri

@@PROPERTY-BUTTON@@	Mostra le proprietà delle autostrade.
$$PROPERTY-INFO$$
Viene disegnato ogni segmento delle autostrade con una specifica proprietà.
$$PROPERTY-INFO$$

@@ERROR-LOG-BUTTON@@	Mostra gli errori registrati.
$$ERROR-LOG-INFO$$
Potenziali problemi riscontrati da Routino durante l'elaborazione dei dati in ingresso.
$$ERROR-LOG-INFO$$

@@CLEAR-DATA-BUTTON@@	Cancella i dati

#
# Multi-line descriptive translations (router)
#

$$ROUTER-INFO$$
Questa pagina consente il calcolo del percorso con i dati raccolti da OpenStreetMap.
Seleziona i punti di partenza e di arrivo (clicca sulle icone dei marcatori qui sotto), seleziona le preferenze e trova un percorso.
$$ROUTER-INFO$$

$$ROUTER-OPTIONS-HELP$$
<B> Avvio rapido </ b>
<br>
Seleziona le icone dei marcatori (sopra) per posizionarli sulla mappa (a destra). Poi
Trascinarli nella posizione desiderata. Eventualmente ingrandire la mappa per
posizionarli con maggiore precisione. In alternativa digitare la latitudine e
longitudine nelle apposite caselle.
<P>
Selezionare il tipo di trasporto, i tipi di strade e le loro proprietà, i limiti di velocità
e altre impstazioni dalle opzioni sopra riportate.
Selezionare il tipo di percorso "più breve" o "più veloce" per calcolarlo e visualizzarlo sulla mappa.
<P>
<B> Punti sul percorso </ b>
<br>
Selezionando le icone dei marcatori, questi saranno visualizzati sulla mappa.
Quando viene calcolato un percorso, ogni punto viene visualizzato nel modo più
coerente possibile al tipo di trasporto selezionato, ciascuno nell'ordine indicato.
<P>
<B> Tipo di trasporto </ b>
<br>
La selezione di un tipo di trasporto vincola il tipo di tragitto ed imposta i
valori predefiniti per gli altri parametri relativi.
<P>
<B> Preferenze per tipi di strade </ b>
<br>
La percorrenza sulle strade principali sono impostate come percentuale di preferenza.
Ad esempio, se ad una strada primaria viene data una preferenza del 100%,
mentre ad una secondaria una preferenza del 90%, significa che il percorso sulla strada primaria
può essere fino al 10% più lungo di quello sulla strada secondaria.
<P>
<B> Limiti di velocità </ b>
<br>
I limiti di velocità per i vari tipi di strade si applicano se la strada stessa
non ha altri limiti di velocità contrassegnati o è superiore a quello scelto.
<P>
<B> Preferenze sulla proprietà </ b>
<br>
La preferenza sulla proprietà viene impostata come percentuale e vengono scelti
i tragitti cercando di rispettare tali preferenze.
Ad esempio, se ad una strada asfaltata viene data una preferenza del 75% allora automaticamente
ad una non asfaltata viene data una preferenza del 25%. In questo modo un percorso su una
strada asfaltata può risultare filo a 3 volte più lungo rispetto a quella non asfaltata.
<P>
<B> Altre restrizioni </ b>
<br>
Si può decidere di ignorare i limiti imposti come peso, altezza, larghezza o lunghezza.
È anche possibile ignorare restrizioni di senso unico se per esempio si desidera
un percorso da fare a piedi.
$$ROUTER-OPTIONS-HELP$$

$$ROUTER-RESULTS-HELP$$
<B> Avvio rapido </ b>
<br>
Dopo aver calcolato un percorso è possibile scaricare il file GPX o la descrizione
del percorso in formato testo (riassuntivo o versione dettagliata).
Inoltre si può visualizzare la descrizione del percorso e ingrandire le parti selezionate.
<P>
<B> Risoluzione dei problemi </ b>
<br>
Se il calcolo termina con un errore, la causa più probabile è
che non sia possibile trovare un percorso tra i punti selezionati.
Spostare uno o più marcatori o cambiare le opzioni di routing dovrebbe
consente di risolvere il problema.
<P>
<B> Formati generati </ b>
<br>
<Dl>
<Dt> istruzioni HTML
<Dd> Una descrizione del percorso con indicazioni per ciascun punto importante.
<Dt> file di traccia GPX
<Dd> Le stesse informazioni visualizzate sulla mappa con i punti
per ogni nodo e linee per ogni segmento.
<Dt> file di percorso GPX
<Dd> Le stesse informazioni visualizzate nel testo per ogni punto importante sul percorso.
<Dt> File di testo completo
<Dd> Un elenco di tutti i nodi visitati con la distanza
tra loro e la distanza cumulativa per ogni passo del percorso.
<Dt> File di testo
<Dd> Le stesse informazioni sul percorso visualizzate nel testo.
</ Dl>
$$ROUTER-RESULTS-HELP$$

$$ROUTER-VISUALISER-INFO$$
Per visualizzare i dati di Routino esiste un visualizzatore che consente di mostrarli in vari modi.
$$ROUTER-VISUALISER-INFO$$

#
# Multi-line descriptive translations (visualiser)
#

$$VISUALISER-INFO$$
Questa pagina web consente la visualizzazione dei dati utilizzati da Routino per il calcolo del percorso.
Vengono visualizzati solo i dati relativi al percorso e pertanto alcuni potranno essere esclusi.
$$VISUALISER-INFO$$

$$VISUALISER-INSTRUCTIONS$$
Ingrandisci e usa il pulsante sotto per scaricare i dati. Il server fornirà i dati se l'area selezionata non è troppo grande.
$$VISUALISER-INSTRUCTIONS$$

$$VISUALISER-HELP$$
<b>Quick Start</b>
<br>
Ingrandisci un'area e seleziona uno dei
pulsanti per mostrare il tipo di dati.
<br>
Più opzioni per i dati si possono ottenere espandendo i dettagli sotto ogni pulsante.
<p>
<b>Dati non validi</b>
<br>
Se l'area selezionata è troppo grande (dipende dal tipo dei dati) l'indicazione dello stato sarà: "Impossibile visualizzare i dati." - ingrandisci e riprova.

$$VISUALISER-HELP$$

$$VISUALISER-ROUTER-INFO$$
Per eseguire il percorso sulla mappa usa il collegamento sottostante.
$$VISUALISER-ROUTER-INFO$$
