#
# Italian language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Autore
%%copyright_source_string%%	Sorgente
%%copyright_source_text%%	Basato sui dati di OpenStreetMap (http://www.openstreetmap.org/)
%%copyright_license_string%%	Licenza

%%turn_-4%%	Immediatamente a sinistra
%%turn_-3%%	Subito a sinistra
%%turn_-2%%	Sinistra
%%turn_-1%%	Leggermente a sinistra
%%turn_0%%	Prosegui su
%%turn_1%%	Leggermente a destra
%%turn_2%%	Destra
%%turn_3%%	Subito a destra
%%turn_4%%	Immediatamente a destra

%%heading_-4%%	Sud
%%heading_-3%%	Sud-Ovest
%%heading_-2%%	Ovest
%%heading_-1%%	Nord-Ovest
%%heading_0%%	Nord
%%heading_1%%	Nord-Est
%%heading_2%%	Est
%%heading_3%%	Sud-Est
%%heading_4%%	Sud

%%ordinal_1%%	Primo
%%ordinal_2%%	Secondo
%%ordinal_3%%	Terzo
%%ordinal_4%%	Quarto
%%ordinal_5%%	Quinto
%%ordinal_6%%	Sesto
%%ordinal_7%%	Settimo
%%ordinal_8%%	Ottavo
%%ordinal_9%%	Nono
%%ordinal_10%%	Decimo

%%highway_motorway%%	autostrada
%%highway_trunk%%	strada principale
%%highway_primary%%	strada principale
%%highway_secondary%%	strada secondaria
%%highway_tertiary%%	strada terziaria
%%highway_unclassified%%	strada non classificata
%%highway_residential%%	strada residenziale
%%highway_service%%	strada di servizio
%%highway_track%%	traccia
%%highway_cycleway%%	pista ciclabile
%%highway_path%%	sentiero
%%highway_steps%%	passi
%%highway_ferry%%	traghetto

%%route_shortest%%	Il piu' corto
%%route_quickest%%	Il piu' veloce

%%output-html_waypoint_waypoint%%	Punto sul tragitto
%%output-html_waypoint_junction%%	Raccordo
%%output-html_waypoint_roundabout%%	Rotatoria
%%output-html_title%%	%s Itinerario
%%output-html_start%%	Inizia a %s, su %s
%%output-html_node%%	A %s, vai a %s su %s
%%output-html_rbnode%%	Lascia %s, prendi la %s uscita su %s
%%output-html_segment%%	Segui %s per %.3f km, %.1f min
%%output-html_stop%%	Stop fra %s
%%output-html_total%%	Totale %.1f km, %.0f minuti
%%output-html_subtotal%%	%.1f km, %.0f minuti

%%output-gpx_desc%%	%s punti sul percorso fra 'start' e 'finish'
%%output-gpx_name%%	%s percorso
%%output-gpx_step%%	%s su '%s' per %.3f km, %.1f min
%%output-gpx_final%%	Viaggio completo %.1f km, %.0f minuti

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Italiano
@@TRANSPORT-WHEELCHAIR@@	Carrozzella
@@TRANSPORT-BICYCLE@@	Bicicletta
@@TRANSPORT-MOPED@@	Ciclomotore
@@TRANSPORT-MOTORCYCLE@@	Motociclo
@@TRANSPORT-MOTORCAR@@	Autovettura
@@TRANSPORT-GOODS@@	Merce
@@TRANSPORT-HGV@@	Trasporto Merci Pesante
@@TRANSPORT-PSV@@	Mezzi Pubblici

@@HIGHWAY-MOTORWAY@@	Autostrada
@@HIGHWAY-TRUNK@@	Tronco
@@HIGHWAY-PRIMARY@@	Primario
@@HIGHWAY-SECONDARY@@	Secondario
@@HIGHWAY-TERTIARY@@	Terziario
@@HIGHWAY-UNCLASSIFIED@@	Non classificato
@@HIGHWAY-RESIDENTIAL@@	Residenziale
@@HIGHWAY-SERVICE@@	Servizio
@@HIGHWAY-TRACK@@	Traccia
@@HIGHWAY-CYCLEWAY@@	Pista ciclabile
@@HIGHWAY-PATH@@	Sentiero
@@HIGHWAY-STEPS@@	Passaggi
@@HIGHWAY-FERRY@@	Traghetto

@@PROPERTY-PAVED@@	Asfaltata
@@PROPERTY-MULTILANE@@	Corsie multiple
@@PROPERTY-BRIDGE@@	Ponte
@@PROPERTY-TUNNEL@@	Tunnel
@@PROPERTY-WALKINGROUTE@@	Percorso pedonale
@@PROPERTY-BICYCLEROUTE@@	Percorso ciclabile

@@RESTRICT-ONEWAY@@	Strade a senso unico
@@RESTRICT-TURNS@@	Divieto di svolta
@@RESTRICT-WEIGHT@@	Peso
@@RESTRICT-HEIGHT@@	Altezza
@@RESTRICT-WIDTH@@	Larghezza
@@RESTRICT-LENGTH@@	Lunghezza

@@FIND-SHORTEST-ROUTE@@	Trova il percorso più breve
@@FIND-QUICKEST-ROUTE@@	Trova il percorso più veloce

@@MAP-VIEW-LINK@@	Collegamento a questa vista della mappa
@@EDIT-OSM-DATA@@	Modifica questi dati OSM

@@ROUTER-NOT-RUN@@	Percorso bloccato
@@ROUTER-RUNNING@@	Percorso in esecuzione
@@ROUTER-COMPLETED@@	Percorso completo
@@ROUTER-ERROR@@	Errore di percorso
@@ROUTER-FAILED@@	Errore di esecuzione del percorso
@@VIEW-DETAILS@@	Vedi dettagli

@@NO-INFORMATION@@	Nessuna informazione
@@HTML-ROUTE@@	Direzioni formato HTML
@@GPX-TRACK-ROUTE@@	File di traccia GPX
@@GPX-ROUTE@@	File di percorso GPX
@@FULL-TEXT-ROUTE@@	File di testo
@@TEXT-ROUTE@@	File di testo
@@OPEN-POPUP@@	Nuova pagine

@@DISPLAY-STATISTICS@@	Mostra statistiche dei dati

@@JAVASCRIPT-REQUIRED@@	E' <em>necessario</em> Javascript per questa pagina web in quanto la mappa è interattiva.
@@ROUTER@@	Percorso
@@GEO-DATA@@	Dati Geografici
@@TILES@@	Tiles

#
# Visualiser specific translations
#

@@VISUALISER-TITLE@@	Visualizzatore dati percorso

@@INSTRUCTIONS-BOX@@	Istruzioni
@@ROUTER-BOX@@	Percorso Routino

@@NO-DATA-DISPLAYED@@	Nessun dato mostrato

@@VISUALISER-FAILED@@	Errore nella visualizzazione dei dati!
@@VISUALISER-NUM-JUNCTIONS@@	Elaborati # raccordi
@@VISUALISER-NUM-SUPER@@	Elaborati # super-nodi/segmanti
@@VISUALISER-NUM-WAYTYPE@@	Elaborati # segmenti di tipo via
@@VISUALISER-NUM-SEGMENTS@@	Elaborati # segmanti
@@VISUALISER-NUM-NODES@@	Elaborati # nodi
@@VISUALISER-NUM-TURNS@@	Elaborati # vincoli di svolta
@@VISUALISER-NUM-LIMITS@@	Elaborati # cambio di limiti
@@VISUALISER-NUM-ERRORS@@	Elaborati # raccolta degli errori

@@JUNCTIONS-BUTTON@@	Mostra Raccordi
@@JUNCTIONS-2@@	Trovate due superstrade di tipo diverso.
@@JUNCTIONS-3@@	Trovate tre superstrade.
@@JUNCTIONS-4@@	Trovate quattro superstrade.
@@JUNCTIONS-5@@	Trovate cinque superstrade.
@@JUNCTIONS-6@@	Trovate sei superstrade.
@@JUNCTIONS-MORE@@	Trovate sette (o più) superstrade.

@@SUPER-BUTTON@@	Mostra Super Segmenti
$$SUPER-INFO$$
Sono mostrati ogni super-nodo con i super-segmenti associati (per dettagli vedi la pagina dell'algoritmo).
$$SUPER-INFO$$

@@WAYTYPE-BUTTON@@	Mostra Segmenti Di Tipo Via

@@WAYTYPE-ONEWAY@@	Segmenti senso unico
@@WAYTYPE-CYCLE-BOTH-WAYS@@	Segmenti doppio senso
@@WAYTYPE-ROUNDABOUT@@	Segmenti rotatoria

@@HIGHWAY-BUTTON@@	Mostra Segmenti Autostrada
$$HIGHWAY-INFO$$
Viene mostrato ogni segmento delle superstrade selezionate.
$$HIGHWAY-INFO$$

@@TRANSPORT-BUTTON@@	Mostra Segmenti Trasporto.
$$TRANSPORT-INFO$$
Viene mostrato ogni segmento consentito per il trasporto selezionato.
$$TRANSPORT-INFO$$

@@BARRIER-BUTTON@@	Mostra Nodi Barriera
$$BARRIER-INFO$$
Viene mostrata ogni barriera che blocca il tipo di trasporto selezionato.
$$BARRIER-INFO$$

@@TURNS-BUTTON@@	Mostra i limiti sulle svolte
$$TURNS-INFO$$
Le svolte non consentite vengono indicate da una linea.
$$TURNS-INFO$$

@@SPEED-BUTTON@@	Mostra i limiti di velocità
$$SPEED-INFO$$
Ogni nodo che unisce segmenti con limiti di velocità diversi viene mostrato con tale limite sui relativi segmenti.
$$SPEED-INFO$$

@@LIMIT-CHANGE@@	Cambio di limite
@@LIMIT-NONE@@	Nessun limite specificato
@@SPEED-LIMIT-80@@	velocità massima 80 km/ora

@@WEIGHT-BUTTON@@	Mostra i limiti di peso
$$WEIGHT-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di peso
insieme al limite di peso per i relativi segmenti.
$$WEIGHT-INFO$$

@@WEIGHT-LIMIT-8@@	peso massimo 8 tonnellate

@@HEIGHT-BUTTON@@	Mostra i limiti di altezza
$$HEIGHT-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di altezza
insieme al limite di altezza per i relativi segmenti.
$$HEIGHT-INFO$$

@@HEIGHT-LIMIT-4@@	altezza massima 4 metri

@@WIDTH-BUTTON@@	Mostra i limiti di larghezza
$$WIDTH-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di larghezza
insieme al limite di larghezza per i relativi segmenti.
$$WIDTH-INFO$$

@@WIDTH-LIMIT-3@@	larghezza massima 3 metri

@@LENGTH-BUTTON@@	Mostra i limiti di lunghezza
$$LENGTH-INFO$$
Viene visualizzato ogni nodo che unisce segmenti con diversi limiti di lunghezza
insieme al limite di lunghezza per i relativi segmenti.
$$LENGTH-INFO$$

@@LENGTH-LIMIT-9@@	lunghezza massima 9 metri

@@PROPERTY-BUTTON@@	Mostra le proprietà delle autostrade.
$$PROPERTY-INFO$$
Viene disegnato ogni segmento delle autostrade con una specifica proprietà.
$$PROPERTY-INFO$$

@@ERROR-LOG-BUTTON@@	Mostra gli errori registrati.
$$ERROR-LOG-INFO$$
Potenziali problemi riscontrati da Routino durante l'elaborazione dei dati in ingresso.
$$ERROR-LOG-INFO$$

@@CLEAR-DATA-BUTTON@@	Cancella i dati

#
# Multi-line descriptive translations (router)
#

$$ROUTER-INFO$$
Questa pagina consente il calcolo del percorso con i dati raccolti da OpenStreetMap.
Seleziona i punti di partenza e di arrivo (clicca sulle icone dei marcatori qui sotto), seleziona le preferenze e trova un percorso.
$$ROUTER-INFO$$

$$ROUTER-VISUALISER-INFO$$
Per visualizzare i dati di Routino esiste un visualizzatore che consente di mostrarli in vari modi.
$$ROUTER-VISUALISER-INFO$$

#
# Multi-line descriptive translations (visualiser)
#

$$VISUALISER-INFO$$
Questa pagina web consente la visualizzazione dei dati utilizzati da Routino per il calcolo del percorso.
Vengono visualizzati solo i dati relativi al percorso e pertanto alcuni potranno essere esclusi.
$$VISUALISER-INFO$$

$$VISUALISER-INSTRUCTIONS$$
Ingrandisci e usa il pulsante sotto per scaricare i dati. Il server fornirà i dati se l'area selezionata non è troppo grande.
$$VISUALISER-INSTRUCTIONS$$

$$VISUALISER-HELP$$
<b>Quick Start</b>
<br>
Ingrandisci un'area e seleziona uno dei
pulsanti per mostrare il tipo di dati.
<br>
Più opzioni per i dati si possono ottenere espandendo i dettagli sotto ogni pulsante.
<p>
<b>Dati non validi</b>
<br>
Se l'area selezionata è troppo grande (dipende dal tipo dei dati) l'indicazione dello stato sarà: "Impossibile visualizzare i dati." - ingrandisci e riprova.

$$VISUALISER-HELP$$

$$VISUALISER-ROUTER-INFO$$
Per eseguire il percorso sulla mappa usa il collegamento sottostante.
$$VISUALISER-ROUTER-INFO$$
