#
# Hungarian language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Készítő
%%copyright_source_string%%	Forrás
%%copyright_source_text%%	Openstreetmap adatok alapján http://www.openstreetmap.org/
%%copyright_license_string%%	Licenc

%%turn_-4%%	Nagyon élesen balra
%%turn_-3%%	Élesen balra
%%turn_-2%%	Balra
%%turn_-1%%	Enyhén balra
%%turn_0%%	Egyenesen
%%turn_1%%	Enyhén jobbra
%%turn_2%%	Jobbra
%%turn_3%%	Élesen jobbra
%%turn_4%%	Nagyon élesen jobbra

%%heading_-4%%	Dél
%%heading_-3%%	Délnyugat
%%heading_-2%%	Nyugat
%%heading_-1%%	Északnyugat
%%heading_0%%	Észak
%%heading_1%%	Északkelet
%%heading_2%%	Kelet
%%heading_3%%	Délkelet
%%heading_4%%	Dél

%%ordinal_1%%	első
%%ordinal_2%%	második
%%ordinal_3%%	harmadik
%%ordinal_4%%	negyedik
%%ordinal_5%%	ötödik
%%ordinal_6%%	hatodik
%%ordinal_7%%	hetedik
%%ordinal_8%%	nyolcadik
%%ordinal_9%%	kilencedik
%%ordinal_10%%	tizedik

%%highway_motorway%%	autópálya
%%highway_trunk%%	autóút
%%highway_primary%%	főút
%%highway_secondary%%	összekötőút
%%highway_tertiary%%	bekötőút
%%highway_unclassified%%	egyéb közút
%%highway_residential%%	lakóút
%%highway_service%%	szervizút
%%highway_track%%	földút
%%highway_cycleway%%	kerékpárút
%%highway_path%%	ösvény
%%highway_steps%%	lépcső
%%highway_ferry%%	komp

%%route_shortest%%	Legrövidebb
%%route_quickest%%	Leggyorsabb

%%output-html_waypoint_waypoint%%	Útpont
%%output-html_waypoint_junction%%	Kereszteződés
%%output-html_waypoint_roundabout%%	Körforgalom
%%output-html_title%%	%s útvonal
%%output-html_start%%	%s, indulás %s felé
%%output-html_node%%	%s, menj %s, %s felé
%%output-html_rbnode%%	%s, hagyd el %s kijáraton %s felé
%%output-html_segment%%	Haladj ezen: %s, %.3f km-t, %.1f percig
%%output-html_stop%%	Állj meg itt: %s
%%output-html_total%%	Összesen %.1f km, %.0f perc
%%output-html_subtotal%%	%.1f km, %.0f perc

%%output-gpx_waypoint_waypt%%	ÚTPONT
%%output-gpx_waypoint_trip%%	ÚT

%%output-gpx_desc%%	A kiindulási és a célpont közötti %s útvonal
%%output-gpx_name%%	%s útvonal
%%output-gpx_step%%	%s felé itt: %s, %.3f km, %.1f min
%%output-gpx_final%%	Az egész út %.1f km, %.0f perc

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Magyar
@@ROUTER-NOT-RUN@@	Az útvonaltervező nem működik
@@ROUTER-RUNNING@@	Az útvonaltervező számol…
@@ROUTER-COMPLETED@@	Az útvonaltervezés kész
@@ROUTER-ERROR@@	Útvonaltervezési hiba
@@ROUTER-FAILED@@	Az útvonaltervezőt nem sikerült lefuttatni
@@VIEW-DETAILS@@	Részletek megtekintése

@@NO-INFORMATION@@	Nincs információ
@@HTML-ROUTE@@	HTML-irányok
@@GPX-TRACK-ROUTE@@	GPX-nyomvonalfájl
@@GPX-ROUTE@@	GPX útvonalfájl
@@FULL-TEXT-ROUTE@@	Teljes szöveges fájl
@@TEXT-ROUTE@@	Szöveges fájl
@@OPEN-POPUP@@	Megnyitás új ablakban

@@DISPLAY-STATISTICS@@	Adatstatisztika megmutatása

@@JAVASCRIPT-REQUIRED@@	Az interaktív térkép miatt Javascript <em>szükséges</em> a weboldal használatához
@@ROUTER@@	Útvonaltervező
@@GEO-DATA@@	Geo Data
@@TILES@@	Mozaikok

#
# Visualiser specific translations
#

@@VISUALISER-TITLE@@	Az útvonal-tervezési adatok megjelenítője

@@INSTRUCTIONS-BOX@@	Használati utasítás
@@ROUTER-BOX@@	Routino útvonaltervező

@@NO-DATA-DISPLAYED@@	Nincs megjelenített adat

@@VISUALISER-FAILED@@	A megjelenítő adatait nem sikerült betölteni
@@VISUALISER-NUM-JUNCTIONS@@	# kereszteződés feldolgozva
@@VISUALISER-NUM-SUPER@@	# szuperpont/-szegmens feldolgozva
@@VISUALISER-NUM-WAYTYPE@@	# úttípus-szegmens feldolgozva
@@VISUALISER-NUM-SEGMENTS@@	# szegmens feldolgozva
@@VISUALISER-NUM-NODES@@	# pont feldolgozva
@@VISUALISER-NUM-TURNS@@	# bekanyarodási korlátozás feldolgozva
@@VISUALISER-NUM-LIMITS@@	# sebességkorlátozás-változás feldolgozva
@@VISUALISER-NUM-ERRORS@@	# hibanapló feldolgozva

@@JUNCTIONS-BUTTON@@	Kereszteződések megmutatása
$$JUNCTIONS-INFO$$
Színkóddal jelenik meg minden zsákutca végét jelentő pont, a két különböző típusú (vagy különböző tulajdonságú) utat összekapcsoló kereszteződés, valamint az a kereszteződés, amelyben legalább három szakasz kapcsolódik össze.
$$JUNCTIONS-INFO$$
@@JUNCTIONS-1@@	csak egy út – zsákutca.
@@JUNCTIONS-2@@	két különböző típusú út találkozása.
@@JUNCTIONS-3@@	három út találkozása.
@@JUNCTIONS-4@@	négy út találkozása.
@@JUNCTIONS-5@@	öt út találkozása.
@@JUNCTIONS-6@@	hat út találkozása.
@@JUNCTIONS-MORE@@	legalább hét út találkozása.

@@SUPER-BUTTON@@	Szuperszegmensek megmutatása

@@WAYTYPE-BUTTON@@	Út típus szakaszok megjelenítese

@@WAYTYPE-ONEWAY@@	Egyirányú szakaszok
@@WAYTYPE-ROUNDABOUT@@	Körforgalmi szakaszok

@@HIGHWAY-BUTTON@@	Út szakaszok megjelenítése

@@TURNS-BUTTON@@	Kanyarodási korlátozások

@@SPEED-BUTTON@@	Sebességhatárok

@@LIMIT-CHANGE@@	Korlátozás változása
@@LIMIT-NONE@@	Nincs korlátozás
@@SPEED-LIMIT-80@@	80 km/óra sebességkorlátozás

@@WEIGHT-BUTTON@@	Súlykorlátozások

@@WEIGHT-LIMIT-8@@	8 tonnás súlykorlátozás

@@HEIGHT-BUTTON@@	Magasságkorlátozások

@@HEIGHT-LIMIT-4@@	4 méter magasságkorlátozás

@@WIDTH-BUTTON@@	Szélességkorlátozások

@@WIDTH-LIMIT-3@@	3 méter szélességkorlátozás

@@LENGTH-BUTTON@@	Hosszúságkorlátozások

@@LENGTH-LIMIT-9@@	9 méter hosszúságkorlátozás

@@PROPERTY-BUTTON@@	Út tulajdonságok megjelenítése

@@ERROR-LOG-BUTTON@@	Hiba logok megmutatása
$$ERROR-LOG-INFO$$
Lehetséges hibák fordultak elő az adatok feldolgozása során
$$ERROR-LOG-INFO$$

@@CLEAR-DATA-BUTTON@@	Adatok törlése

#
# Multi-line descriptive translations (router)
#

#
# Multi-line descriptive translations (visualiser)
#

